INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,OBSERVED,EXPECTED,VALUE,PO_LL,PO_UL,PO_BANDING,OD_LL,OD_UL,OD_BANDING
I00699,5QT,ISLE OF WIGHT NHS PRIMARY CARE TRUST,18732,913,768.4005,1.1882,0.8922,1.1166,1,0.8709,1.1482,1
I00699,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,43924,1346,1478.9925,0.9101,0.9216,1.083,3,0.8788,1.138,2
I00699,RA3,WESTON AREA HEALTH NHS TRUST,18964,1023,909.8874,1.1243,0.9007,1.1067,1,0.8734,1.145,2
I00699,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,23047,909,842.1896,1.0793,0.8969,1.1111,2,0.8723,1.1464,2
I00699,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,76883,1652,1790.6576,0.9226,0.9286,1.0752,3,0.8803,1.136,2
I00699,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,39116,1619,1664.6544,0.9726,0.926,1.0781,2,0.8797,1.1367,2
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,73513,1843,1950.417,0.9449,0.9315,1.072,2,0.8809,1.1352,2
I00699,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,49811,2216,2097.4521,1.0565,0.9339,1.0693,2,0.8814,1.1346,2
I00699,RAL,ROYAL FREE HAMPSTEAD NHS TRUST,55807,1193,1539.957,0.7747,0.9231,1.0813,3,0.8791,1.1375,3
I00699,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,26054,832,884.4398,0.9407,0.8993,1.1083,2,0.873,1.1455,2
I00699,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,38427,953,1079.6426,0.8827,0.9086,1.0977,3,0.8755,1.1421,2
I00699,RAX,KINGSTON HOSPITAL NHS TRUST,48388,1309,1528.0734,0.8566,0.9228,1.0816,3,0.879,1.1376,3
I00699,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,53844,1528,1617.5706,0.9446,0.9249,1.0792,2,0.8795,1.137,2
I00699,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,29471,1057,1030.8384,1.0254,0.9065,1.1,2,0.875,1.1429,2
I00699,RBK,WALSALL HEALTHCARE NHS TRUST,37404,1476,1388.6649,1.0629,0.9191,1.0857,2,0.8782,1.1387,2
I00699,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,64837,2181,2122.2296,1.0277,0.9343,1.0689,2,0.8815,1.1345,2
I00699,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,60743,1879,1877.9093,1.0006,0.9302,1.0734,2,0.8807,1.1355,2
I00699,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,45879,1507,1364.2465,1.1046,0.9184,1.0865,1,0.878,1.1389,2
I00699,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,25811,972,1045.0183,0.9301,0.9071,1.0993,2,0.8752,1.1427,2
I00699,RC1,BEDFORD HOSPITAL NHS TRUST,28086,1118,1119.6325,0.9985,0.9102,1.0958,2,0.876,1.1416,2
I00699,RC3,EALING HOSPITAL NHS TRUST,31549,725,837.6094,0.8656,0.8966,1.1114,3,0.8722,1.1465,3
I00699,RC9,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,55080,1541,1420.4185,1.0849,0.92,1.0847,1,0.8784,1.1384,2
I00699,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,35966,1443,1254.3263,1.1504,0.915,1.0904,1,0.8772,1.14,1
