INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,OBSERVED,EXPECTED,VALUE,PO_LL,PO_UL,OD_LL,OD_UL,OD_BANDING
I00699,5QT,ISLE OF WIGHT NHS PRIMARY CARE TRUST,18986,874,760.2982,1.1495,0.8917,1.1172,0.8687,1.1511,2
I00699,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,44965,1312,1476.0107,0.8889,0.9215,1.0831,0.8766,1.1408,2
I00699,RA3,WESTON AREA HEALTH NHS TRUST,17953,976,908.6598,1.0741,0.9006,1.1068,0.8713,1.1477,2
I00699,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,22836,895,848.8573,1.0544,0.8973,1.1107,0.8703,1.149,2
I00699,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,75992,1701,1765.0585,0.9637,0.9281,1.0758,0.878,1.139,2
I00699,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,38282,1546,1631.8765,0.9474,0.9252,1.0789,0.8774,1.1398,2
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,75286,1796,1933.382,0.9289,0.9312,1.0723,0.8786,1.1381,2
I00699,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,49205,2109,2070.2075,1.0187,0.9335,1.0698,0.8791,1.1376,2
I00699,RAL,ROYAL FREE HAMPSTEAD NHS TRUST,46718,1146,1511.108,0.7584,0.9224,1.0821,0.8768,1.1406,3
I00699,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,26143,784,919.549,0.8526,0.9012,1.1062,0.8714,1.1475,3
I00699,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,38438,974,1076.281,0.905,0.9084,1.0978,0.8734,1.145,2
I00699,RAX,KINGSTON HOSPITAL NHS TRUST,48232,1232,1459.6071,0.8441,0.9211,1.0836,0.8765,1.141,3
I00699,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,53733,1528,1614.4124,0.9465,0.9249,1.0793,0.8773,1.1399,2
I00699,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,29920,1111,1053.8426,1.0542,0.9075,1.0989,0.8731,1.1453,2
I00699,RBK,WALSALL HEALTHCARE NHS TRUST,37345,1458,1339.2834,1.0886,0.9177,1.0874,0.8757,1.142,2
I00699,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,62578,2071,2004.3053,1.0333,0.9324,1.071,0.8789,1.1378,2
I00699,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,61750,1921,1875.9242,1.024,0.9302,1.0734,0.8784,1.1384,2
I00699,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,42580,1467,1323.9087,1.1081,0.9172,1.0879,0.8756,1.1421,2
I00699,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,28344,1250,1280.5714,0.9761,0.9159,1.0894,0.8752,1.1425,2
I00699,RC1,BEDFORD HOSPITAL NHS TRUST,27792,1080,1077.6748,1.0022,0.9085,1.0978,0.8734,1.145,2
I00699,RC3,EALING HOSPITAL NHS TRUST,31488,728,815.6272,0.8926,0.8953,1.113,0.8698,1.1497,2
I00699,RC9,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,55941,1512,1408.5082,1.0735,0.9197,1.0851,0.8761,1.1414,2
I00699,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,47614,1807,1619.9545,1.1155,0.925,1.0792,0.8773,1.1398,2
I00699,RCC,SCARBOROUGH AND NORTH EAST YORKSHIRE HEALTH CARE NHS TRUST,24532,1175,1006.0642,1.1679,0.9054,1.1013,0.8726,1.146,1
I00699,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,23908,883,941.2728,0.9381,0.9023,1.1049,0.8717,1.1471,2
I00699,RCF,AIREDALE NHS FOUNDATION TRUST,31542,968,1048.5085,0.9232,0.9073,1.0992,0.8731,1.1454,2
I00699,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN. NHS FOUNDATION TRUST",38135,1512,1523.4203,0.9925,0.9227,1.0817,0.8768,1.1405,2
I00699,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,41776,1880,1987.7523,0.9458,0.9321,1.0713,0.8788,1.1379,2
I00699,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,52544,1441,1624.0598,0.8873,0.9251,1.0791,0.8773,1.1398,2
I00699,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,49883,1441,1418.0805,1.0162,0.9199,1.0848,0.8762,1.1413,2
I00699,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,43091,1092,1107.4363,0.9861,0.9097,1.0964,0.8737,1.1445,2
I00699,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,48090,1914,1658.0587,1.1544,0.9258,1.0782,0.8775,1.1396,1
I00699,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,49277,2236,1918.5157,1.1655,0.9309,1.0726,0.8786,1.1382,1
I00699,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,50860,1417,1579.739,0.897,0.9241,1.0802,0.8771,1.1401,2
I00699,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,44465,2123,2050.9683,1.0351,0.9332,1.0701,0.879,1.1376,2
