INDICATOR_CODE,PROVIDER,PROVIDER NAME,DENOMINATOR,OBSERVED,EXPECTED,VALUE,PO_LL,PO_UL,OD_LL,OD_UL,OD_BANDING
I00699,5QT,ISLE OF WIGHT NHS PRIMARY CARE TRUST,19022,891,769.2218,1.1583,0.8923,1.1165,0.8705,1.1488,1
I00699,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,44718,1330,1466.9162,0.9067,0.9213,1.0833,0.8782,1.1387,2
I00699,RA3,WESTON AREA HEALTH NHS TRUST,18443,997,909.8379,1.0958,0.9007,1.1067,0.8729,1.1456,2
I00699,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,22960,913,840.8529,1.0858,0.8968,1.1112,0.8718,1.1471,2
I00699,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,76892,1666,1768.0837,0.9423,0.9281,1.0757,0.8797,1.1367,2
I00699,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,38601,1575,1624.5584,0.9695,0.9251,1.0791,0.8791,1.1376,2
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,74158,1835,1958.7628,0.9368,0.9316,1.0718,0.8804,1.1358,2
I00699,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,49546,2112,2076.3003,1.0172,0.9336,1.0697,0.8808,1.1353,2
I00699,RAL,ROYAL FREE HAMPSTEAD NHS TRUST,51431,1131,1521.2961,0.7434,0.9226,1.0818,0.8785,1.1383,3
I00699,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,25974,783,883.3882,0.8864,0.8992,1.1084,0.8725,1.1461,2
I00699,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,38536,948,1068.8741,0.8869,0.9081,1.0982,0.8749,1.1429,2
I00699,RAX,KINGSTON HOSPITAL NHS TRUST,47652,1242,1453.5777,0.8544,0.9209,1.0837,0.8781,1.1388,3
I00699,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,53869,1519,1607.3494,0.945,0.9247,1.0795,0.879,1.1377,2
I00699,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,29648,1089,1055.6622,1.0316,0.9076,1.0988,0.8748,1.1431,2
I00699,RBK,WALSALL HEALTHCARE NHS TRUST,37840,1465,1373.0899,1.0669,0.9187,1.0862,0.8776,1.1395,2
I00699,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,63434,2117,2052.861,1.0312,0.9332,1.0701,0.8807,1.1354,2
I00699,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,61168,1913,1883.2467,1.0158,0.9303,1.0733,0.8802,1.1362,2
I00699,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,45268,1447,1342.3658,1.0779,0.9178,1.0872,0.8774,1.1398,2
