INDICATOR_CODE,PROVIDER,PROVIDER_NAME,DENOMINATOR,OBSERVED,EXPECTED,VALUE,PO_LL,PO_UL,OD_LL,OD_UL,OD_BANDING
I00699,5QT,ISLE OF WIGHT NHS PRIMARY CARE TRUST,19188,852,755.192,1.1282,0.8913,1.1176,0.8751,1.1427,2
I00699,R1H,BARTS HEALTH NHS TRUST,161007,3394,4221.2094,0.804,0.9531,1.0485,0.8899,1.1238,3
I00699,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,45094,1264,1424.5803,0.8873,0.9201,1.0846,0.8833,1.1321,2
I00699,RA3,WESTON AREA HEALTH NHS TRUST,17746,951,896.8558,1.0604,0.9,1.1075,0.8778,1.1392,2
I00699,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,22688,882,835.0077,1.0563,0.8965,1.1116,0.8767,1.1406,2
I00699,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,75249,1687,1741.6674,0.9686,0.9276,1.0763,0.8851,1.1299,2
I00699,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,38169,1535,1598.5349,0.9603,0.9245,1.0797,0.8843,1.1308,2
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,76490,1757,1897.2825,0.9261,0.9306,1.073,0.8857,1.129,2
I00699,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,48580,2043,2013.3911,1.0147,0.9325,1.0708,0.8861,1.1285,2
I00699,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,42593,1067,1460.5905,0.7305,0.9211,1.0835,0.8835,1.1318,3
I00699,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,26048,764,940.0957,0.8127,0.9022,1.1049,0.8785,1.1383,3
I00699,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,38079,954,1043.9268,0.9139,0.9071,1.0994,0.8799,1.1366,2
I00699,RAX,KINGSTON HOSPITAL NHS TRUST,48408,1197,1418.6989,0.8437,0.92,1.0848,0.8833,1.1322,3
I00699,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,53421,1462,1558.8984,0.9378,0.9236,1.0808,0.8841,1.1311,2
I00699,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,30129,1085,1020.8845,1.0628,0.9061,1.1005,0.8796,1.1369,2
I00699,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,61725,1993,1928.6016,1.0334,0.9311,1.0724,0.8858,1.1289,2
I00699,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,62033,1860,1798.9737,1.0339,0.9287,1.075,0.8853,1.1295,2
I00699,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,40285,1401,1254.5647,1.1167,0.915,1.0904,0.882,1.1338,2
I00699,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,29401,1338,1375.2288,0.9729,0.9187,1.0862,0.8829,1.1326,2
I00699,RC1,BEDFORD HOSPITAL NHS TRUST,27324,1043,1015.8192,1.0268,0.9058,1.1008,0.8795,1.137,2
I00699,RC3,EALING HOSPITAL NHS TRUST,31299,705,775.9132,0.9086,0.8927,1.116,0.8756,1.1421,2
I00699,RC9,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,56799,1491,1376.5022,1.0832,0.9188,1.0861,0.883,1.1326,2
I00699,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,48228,1774,1600.5158,1.1084,0.9245,1.0797,0.8844,1.1308,2
I00699,RCC,SCARBOROUGH AND NORTH EAST YORKSHIRE HEALTH CARE NHS TRUST,24813,1172,989.0169,1.185,0.9046,1.1022,0.8792,1.1375,1
I00699,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,23640,860,900.1986,0.9553,0.9002,1.1073,0.8779,1.1391,2
I00699,RCF,AIREDALE NHS FOUNDATION TRUST,31110,922,1024.6322,0.8998,0.9062,1.1004,0.8796,1.1369,2
I00699,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",37959,1474,1479.0296,0.9966,0.9216,1.083,0.8836,1.1317,2
I00699,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,41707,1839,1900.2529,0.9678,0.9306,1.0729,0.8857,1.129,2
I00699,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,52198,1421,1576.1944,0.9015,0.924,1.0803,0.8842,1.1309,2
I00699,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,50240,1364,1364.4055,0.9997,0.9184,1.0865,0.8829,1.1327,2
I00699,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,43130,1026,1056.5415,0.9711,0.9076,1.0988,0.88,1.1364,2
I00699,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,48525,1844,1633.8457,1.1286,0.9253,1.0788,0.8845,1.1305,2
I00699,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,49740,2183,1857.8711,1.175,0.9298,1.0738,0.8856,1.1292,1
I00699,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,51601,1364,1561.9048,0.8733,0.9236,1.0807,0.8841,1.131,3
I00699,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,44850,2086,2049.2391,1.0179,0.9331,1.0702,0.8863,1.1283,2
I00699,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,23819,1162,1066.7446,1.0893,0.908,1.0983,0.8801,1.1362,2
I00699,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,70208,2129,2059.9392,1.0335,0.9333,1.07,0.8863,1.1283,2
I00699,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,42689,1918,1657.7775,1.157,0.9258,1.0782,0.8847,1.1304,1
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",86714,2980,3105.5562,0.9596,0.9455,1.0567,0.8886,1.1253,2
I00699,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,41854,1376,1274.991,1.0792,0.9157,1.0896,0.8822,1.1336,2
I00699,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,48900,1445,1395.7589,1.0353,0.9193,1.0855,0.8831,1.1324,2
I00699,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,44842,1618,1527.3403,1.0594,0.9228,1.0816,0.8839,1.1313,2
I00699,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,33367,913,976.5981,0.9349,0.904,1.1029,0.879,1.1377,2
I00699,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,47683,1506,1486.6886,1.013,0.9218,1.0828,0.8837,1.1316,2
I00699,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,32279,1471,1720.2688,0.8551,0.9271,1.0768,0.885,1.13,3
I00699,RGQ,IPSWICH HOSPITAL NHS TRUST,47343,1691,1659.8913,1.0187,0.9259,1.0782,0.8847,1.1304,2
I00699,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,32570,1186,1306.4023,0.9078,0.9167,1.0885,0.8824,1.1332,2
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,68817,1904,2334.0859,0.8157,0.9373,1.0656,0.8871,1.1273,3
I00699,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,59405,1677,1935.8783,0.8663,0.9312,1.0722,0.8859,1.1288,3
I00699,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,88254,2531,2711.8894,0.9333,0.9417,1.0608,0.888,1.1262,2
I00699,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,101149,3508,3798.8219,0.9234,0.9506,1.0512,0.8895,1.1242,2
I00699,RHU,PORTSMOUTH HOSPITALS NHS TRUST,87824,2901,2931.5221,0.9896,0.9439,1.0584,0.8884,1.1257,2
I00699,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,58438,1966,1833.9557,1.072,0.9294,1.0743,0.8855,1.1294,2
