INDICATOR_CODE,PROVIDER,PROVIDER_NAME,DENOMINATOR,OBSERVED,EXPECTED,VALUE,PO_LL,PO_UL,OD_LL,OD_UL,OD_BANDING
I00699,5QT,ISLE OF WIGHT NHS PRIMARY CARE TRUST,19369,863,803.9971,1.0734,0.8946,1.1138,0.8799,1.1365,2
I00699,R1H,BARTS HEALTH NHS TRUST,160732,3570,4325.48,0.8253,0.9537,1.0479,0.8943,1.1182,3
I00699,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,45481,1307,1439.156,0.9082,0.9205,1.0842,0.8874,1.1269,2
I00699,RA3,WESTON AREA HEALTH NHS TRUST,17962,936,890.3053,1.0513,0.8996,1.108,0.8815,1.1345,2
I00699,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,22831,904,858.8179,1.0526,0.8979,1.11,0.8809,1.1352,2
I00699,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,75710,1710,1805.8236,0.9469,0.9289,1.0749,0.8894,1.1243,2
I00699,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,38268,1540,1636.8606,0.9408,0.9254,1.0788,0.8886,1.1254,2
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,77610,1788,1911.5662,0.9354,0.9308,1.0727,0.8899,1.1237,2
I00699,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,48810,2064,2031.2874,1.0161,0.9328,1.0705,0.8903,1.1232,2
I00699,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,42626,1104,1494.9657,0.7385,0.922,1.0825,0.8878,1.1264,3
I00699,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,27218,811,994.553,0.8154,0.9049,1.1019,0.8831,1.1324,3
I00699,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,38372,950,1070.0813,0.8878,0.9082,1.0981,0.884,1.1312,2
I00699,RAX,KINGSTON HOSPITAL NHS TRUST,48753,1199,1421.4735,0.8435,0.92,1.0847,0.8873,1.127,3
I00699,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,53083,1471,1556.6388,0.945,0.9235,1.0808,0.8882,1.1259,2
I00699,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,30739,1085,1023.5376,1.06,0.9062,1.1004,0.8835,1.1319,2
I00699,RBK,WALSALL HEALTHCARE NHS TRUST,37825,1464,1300.6283,1.1256,0.9165,1.0887,0.8864,1.1282,2
I00699,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,61948,2039,1937.4423,1.0524,0.9313,1.0722,0.89,1.1236,2
I00699,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,63187,1850,1795.1649,1.0305,0.9286,1.0751,0.8894,1.1244,2
I00699,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,39007,1408,1257.5016,1.1197,0.9151,1.0902,0.886,1.1287,2
I00699,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,30711,1497,1530.8657,0.9779,0.9229,1.0815,0.888,1.1261,2
I00699,RC1,BEDFORD HOSPITAL NHS TRUST,27434,1059,1013.405,1.045,0.9057,1.1009,0.8833,1.1321,2
I00699,RC3,EALING HOSPITAL NHS TRUST,31272,720,788.3825,0.9133,0.8935,1.115,0.8795,1.1369,2
I00699,RC9,LUTON AND DUNSTABLE HOSPITAL NHS FOUNDATION TRUST,57731,1485,1410.5872,1.0528,0.9197,1.085,0.8872,1.1271,2
I00699,RCB,YORK TEACHING HOSPITAL NHS FOUNDATION TRUST,73845,2913,2607.1152,1.1173,0.9406,1.062,0.892,1.1211,2
I00699,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,23976,883,893.0639,0.9887,0.8998,1.1078,0.8815,1.1344,2
I00699,RCF,AIREDALE NHS FOUNDATION TRUST,31141,931,1042.7772,0.8928,0.907,1.0994,0.8837,1.1316,2
I00699,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",38382,1489,1500.2854,0.9925,0.9221,1.0824,0.8878,1.1264,2
I00699,RD1,ROYAL UNITED HOSPITAL BATH NHS TRUST,42022,1879,1928.9687,0.9741,0.9311,1.0724,0.89,1.1237,2
I00699,RD3,POOLE HOSPITAL NHS FOUNDATION TRUST,51677,1422,1583.9764,0.8977,0.9241,1.0801,0.8883,1.1257,2
I00699,RD7,HEATHERWOOD AND WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,51096,1417,1392.9683,1.0173,0.9192,1.0856,0.8871,1.1273,2
I00699,RD8,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,42874,1038,1045.3758,0.9929,0.9071,1.0993,0.8837,1.1316,2
I00699,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,49394,1865,1661.1878,1.1227,0.9259,1.0782,0.8887,1.1252,2
I00699,RDE,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,50541,2174,1848.8424,1.1759,0.9297,1.074,0.8896,1.1241,1
I00699,RDU,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,52305,1403,1600.0243,0.8769,0.9245,1.0797,0.8884,1.1256,3
I00699,RDZ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,45300,2093,2084.0737,1.0043,0.9337,1.0696,0.8905,1.1229,2
I00699,RE9,SOUTH TYNESIDE NHS FOUNDATION TRUST,24466,1161,1078.7503,1.0762,0.9085,1.0977,0.8841,1.131,2
I00699,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,70032,2062,2027.809,1.0169,0.9328,1.0705,0.8903,1.1232,2
I00699,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,42778,1891,1673.1647,1.1302,0.9262,1.0779,0.8888,1.1251,1
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",86733,3022,3098.8324,0.9752,0.9454,1.0568,0.8929,1.12,2
I00699,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,41997,1372,1269.1478,1.081,0.9155,1.0898,0.8861,1.1286,2
I00699,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,49573,1467,1402.71,1.0458,0.9195,1.0853,0.8871,1.1272,2
I00699,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,44883,1679,1530.2334,1.0972,0.9229,1.0815,0.888,1.1261,2
I00699,RFW,WEST MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,33881,950,964.594,0.9849,0.9034,1.1035,0.8826,1.133,2
I00699,RGN,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,48828,1561,1541.2729,1.0128,0.9231,1.0812,0.8881,1.126,2
I00699,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,32037,1491,1711.0789,0.8714,0.927,1.077,0.889,1.1249,3
I00699,RGQ,IPSWICH HOSPITAL NHS TRUST,46479,1700,1613.4815,1.0536,0.9248,1.0793,0.8885,1.1255,2
I00699,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,32599,1175,1302.9254,0.9018,0.9166,1.0886,0.8864,1.1282,2
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,69040,1934,2332.7143,0.8291,0.9372,1.0656,0.8913,1.122,3
I00699,RH8,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,58929,1715,1951.7486,0.8787,0.9315,1.0719,0.89,1.1235,3
I00699,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,89242,2568,2787.6331,0.9212,0.9425,1.0599,0.8923,1.1207,2
