INDICATOR_CODE,PROVIDER,PROVIDER_NAME,DENOMINATOR,OBSERVED,EXPECTED,VALUE,PO_LL,PO_UL,OD_LL,OD_UL,OD_BANDING
I00699,R1F,ISLE OF WIGHT NHS TRUST,19096,930,833.1739,1.1162,0.8964,1.1118,0.8823,1.1334,2
I00699,R1H,BARTS HEALTH NHS TRUST,162580,3600,4543.9599,0.7923,0.9548,1.0467,0.8966,1.1153,3
I00699,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,45565,1310,1369.714,0.9564,0.9186,1.0863,0.8889,1.125,2
I00699,RA3,WESTON AREA HEALTH NHS TRUST,16827,979,958.0633,1.0219,0.9031,1.1039,0.8844,1.1306,2
I00699,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,24321,926,965.586,0.959,0.9035,1.1035,0.8846,1.1305,2
I00699,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,65116,1572,1678.4667,0.9366,0.9263,1.0777,0.8909,1.1225,2
I00699,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,39067,1596,1717.7217,0.9291,0.9271,1.0768,0.8911,1.1223,2
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,74451,1870,1870.7785,0.9996,0.9301,1.0735,0.8918,1.1214,2
I00699,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,49302,2096,2056.8199,1.019,0.9332,1.07,0.8925,1.1205,2
I00699,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,39884,1195,1481.5019,0.8066,0.9216,1.0829,0.8897,1.124,3
I00699,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,29622,811,1021.7771,0.7937,0.9061,1.1005,0.8854,1.1295,3
I00699,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,38871,1000,1131.8283,0.8835,0.9107,1.0953,0.8867,1.1278,3
I00699,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,46930,1303,1404.8343,0.9275,0.9196,1.0852,0.8892,1.1247,2
I00699,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,51894,1590,1631.0344,0.9748,0.9252,1.0789,0.8906,1.1228,2
I00699,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,29142,1066,977.2749,1.0908,0.9041,1.1028,0.8847,1.1303,2
I00699,RBK,WALSALL HEALTHCARE NHS TRUST,42306,1480,1505.2765,0.9832,0.9222,1.0822,0.8898,1.1238,2
I00699,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,63749,2204,2115.1914,1.042,0.9342,1.069,0.8927,1.1202,2
I00699,RBN,ST HELENS AND KNOWSLEY HOSPITALS NHS TRUST,68011,2157,2075.4218,1.0393,0.9335,1.0697,0.8926,1.1204,2
I00699,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,37012,1433,1241.269,1.1545,0.9146,1.0909,0.8878,1.1264,1
I00699,RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,29870,1337,1508.86,0.8861,0.9223,1.0821,0.8899,1.1238,3
I00699,RC1,BEDFORD HOSPITAL NHS TRUST,28939,1184,1075.6429,1.1007,0.9084,1.0979,0.886,1.1286,2
I00699,RC3,EALING HOSPITAL NHS TRUST,29238,662,798.2247,0.8293,0.8942,1.1143,0.8816,1.1343,3
I00699,RC9,LUTON AND DUNSTABLE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,60402,1596,1552.5292,1.028,0.9234,1.0809,0.8901,1.1234,2
