DATE,PROVIDER,PROVIDER NAME,DENOMINATOR,OBSERVED,EXPECTED,VALUE,PO_LL,PO_UL,OD_LL,OD_UL,OD_BANDING
2011-10-01,5QT,ISLE OF WIGHT NHS PRIMARY CARE TRUST,18732,913,768.4005,1.1882,0.8922,1.1166,0.8709,1.1482,1
2011-10-01,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,43924,1346,1478.9925,0.9101,0.9216,1.083,0.8788,1.138,2
2011-10-01,RA3,WESTON AREA HEALTH NHS TRUST,18964,1023,909.8874,1.1243,0.9007,1.1067,0.8734,1.145,2
2011-10-01,RA4,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,23047,909,842.1896,1.0793,0.8969,1.1111,0.8723,1.1464,2
2011-10-01,RA7,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,76883,1652,1790.6576,0.9226,0.9286,1.0752,0.8803,1.136,2
2011-10-01,RA9,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,39116,1619,1664.6544,0.9726,0.926,1.0781,0.8797,1.1367,2
2011-10-01,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,73513,1843,1950.417,0.9449,0.9315,1.072,0.8809,1.1352,2
2011-10-01,RAJ,SOUTHEND UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,49811,2216,2097.4521,1.0565,0.9339,1.0693,0.8814,1.1346,2
2011-10-01,RAL,ROYAL FREE HAMPSTEAD NHS TRUST,55807,1193,1539.957,0.7747,0.9231,1.0813,0.8791,1.1375,3
2011-10-01,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,26054,832,884.4398,0.9407,0.8993,1.1083,0.873,1.1455,2
2011-10-01,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,38427,953,1079.6426,0.8827,0.9086,1.0977,0.8755,1.1421,2
2011-10-01,RAX,KINGSTON HOSPITAL NHS TRUST,48388,1309,1528.0734,0.8566,0.9228,1.0816,0.879,1.1376,3
2011-10-01,RBA,TAUNTON AND SOMERSET NHS FOUNDATION TRUST,53844,1528,1617.5706,0.9446,0.9249,1.0792,0.8795,1.137,2
